"Packer","Size","Count","Ratio","BatchSz","Gets/sec","Iters/sec","Iterrecs/sec"

"plain","1168.68kb","777","1.00","1","108131.95","354.98","139716.02"
"zlib","665.24kb","777","1.76","1","42760.74","133.30","50555.17"
"zlib","606.23kb","391","1.93","2","29340.89","143.39","56638.37"
"zlib","559.32kb","198","2.09","4","19804.81","170.44","65492.69"
"zlib","546.68kb","160","2.14","5","17064.23","168.38","67426.26"
"zlib","523.11kb","102","2.23","8","12172.93","187.56","71960.91"
"zlib","492.75kb","54","2.37","16","6810.00","187.31","74794.60"
"zlib","467.64kb","30","2.50","32","3769.07","183.75","77812.57"
"zlib","451.92kb","18","2.59","64","2034.88","194.97","81139.05"

"plain","1168.68kb","777","1.00","1","107199.09","363.83","139657.54"
"snappy","956.01kb","779","1.22","1","92543.20","304.43","116504.26"
"snappy","877.93kb","393","1.33","2","70259.24","289.25","113377.84"
"snappy","812.97kb","200","1.44","4","53762.23","318.78","123968.52"
"snappy","795.32kb","162","1.47","5","46740.49","317.77","124612.58"
"snappy","764.59kb","104","1.53","8","35786.67","326.88","128425.48"
"snappy","726.76kb","56","1.61","16","21549.42","329.54","131490.48"
"snappy","698.78kb","32","1.67","32","12151.92","330.81","132927.23"
"snappy","693.17kb","20","1.69","64","6536.96","320.86","133595.61"

"plain","1168.68kb","777","1.00","1","106367.40","357.73","138651.79"
"lz4","958.01kb","779","1.22","1","98937.29","321.07","124096.64"
"lz4","884.88kb","393","1.32","2","77326.69","316.02","121574.12"
"lz4","821.37kb","200","1.42","4","65689.48","348.71","135687.07"
"lz4","803.58kb","162","1.45","5","59402.30","357.00","138203.87"
"lz4","769.61kb","104","1.52","8","48724.15","371.56","144024.33"
"lz4","729.24kb","56","1.60","16","32488.84","376.87","148202.87"
"lz4","702.82kb","32","1.66","32","19842.84","371.99","149982.37"
"lz4","702.67kb","20","1.66","64","11415.55","359.74","151281.18"
